,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Company,State,Product,Sub-product,Issue,Sub-issue
21843,0.211642341,0.322196639,0.338797175,0.180552433,-0.106508015,0.047575368,0.110508062,0.146339664,-0.076158609,0.312896155,0.062871308,-0.191352312,-0.078447816,0.13402185,-0.121472976,0.364779869,0.134331906,0.112334657,-0.281170979,0.128998604,0.31999873,-0.200304261,0.21065953,-0.19979264,0.156110657,0.278010119,-0.296697249,-0.236370625,0.068962219,0.377114672,0.22530469,-0.248984457,-0.053984999,0.171995082,0.188438475,0.190485646,0.032218955,-0.139476985,-0.12075094,0.309215683,0.19919077,0.342326623,0.225367932,0.229250864,-0.30480402,0.128373472,0.311408035,0.005243665,0.17774364,-0.243859607,0.176196236,0.190333991,0.215190662,0.343668896,0.046998096,0.033907316,0.022176985,0.34149738,0.014971405,0.312611498,-0.191197914,0.288451847,0.302152961,-0.337197071,0.081832292,-0.152368553,0.228666963,0.005827763,-0.27539076,-0.165973263,-0.364971713,-0.192922346,-0.166262059,0.130402459,-0.020551373,0.262593706,0.356387236,0.17154914,-0.002467178,0.294155772,-0.022309172,-0.349275429,0.39530054,-0.075882062,-0.218579677,-0.2823162,-0.125682568,0.160425428,-0.050084389,-0.250827797,-0.256197181,-0.235887667,-0.29251458,0.107199753,0.165341623,0.244361693,-0.148113454,0.11674789,-0.231170653,-0.187514493,WELLS FARGO & COMPANY,NJ,Credit card or prepaid card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem
22593,0.212448357,0.318321018,0.269245095,0.125578784,-0.193514662,0.118842655,0.06019621,0.22002266,0.04692243,0.349349459,-0.135149889,-0.273317041,-0.236073931,0.040943879,-0.261177385,0.377625551,0.099076112,-0.007744326,-0.316306744,0.200107499,0.319866994,-0.271437457,0.212027378,0.002356418,0.180055877,0.331009539,-0.193960926,-0.268231079,0.180517,0.356795092,-0.036489967,-0.259306137,0.052058533,0.035931601,0.195695597,0.184730846,-0.034391121,-0.222904608,-0.127327796,0.331307744,0.197045446,0.359243122,0.202699575,0.18694391,-0.340432157,0.067459734,0.349801712,-0.151640194,0.03184915,-0.246558658,0.219608437,0.153649579,0.252338379,0.210782254,-0.255145812,0.13004437,0.031746654,0.376865318,-0.334224046,0.271749429,-0.30923392,0.391694306,0.332667386,-0.34813272,0.140037191,0.06515511,-0.013933439,0.094133519,-0.128816852,-0.131440168,-0.372717411,-0.193818559,-0.153990892,0.22529464,-0.096805608,0.376476271,0.353562451,0.304958683,-0.030630465,0.280564272,0.045883455,-0.330269327,0.41058599,-0.191098506,-0.226051526,-0.282723331,-0.058824645,0.277183382,0.085543943,-0.21251314,-0.132912036,-0.174286811,-0.25027207,-0.020912502,0.152107177,0.186481991,-0.20107934,0.052307584,-0.292794813,-0.210275877,"BANK OF AMERICA, NATIONAL ASSOCIATION",NV,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report
22716,0.21821335,0.344553271,0.331639733,0.125292278,-0.179158047,0.061598248,0.135687117,0.158627113,-0.010898982,0.289027659,-0.054636943,-0.22545795,-0.198819072,-0.04218326,-0.160412647,0.365704074,0.099639593,0.051763975,-0.298318085,0.135907902,0.341294771,-0.239350738,0.116132356,-0.203319094,0.220885515,0.319557015,-0.277403513,-0.22276707,0.086586653,0.379547619,0.184139431,-0.239190866,0.000703309,0.24255946,0.195257082,0.18423056,-0.010514058,-0.200614308,-0.118016662,0.348491861,0.199472711,0.357052316,0.219408505,0.251129583,-0.328600842,0.150638551,0.350107409,-0.032404604,0.193948482,-0.258102933,0.156585507,0.071705247,0.236219119,0.30815764,-0.154671432,0.083179989,0.156217118,0.335818744,0.003780555,0.318781395,-0.280088005,0.325058782,0.34793267,-0.354588123,0.038906969,-0.198089796,0.175326951,0.020546515,-0.188990393,-0.13689084,-0.378291045,-0.202674873,-0.084035435,0.15864821,-0.126512339,0.277152519,0.379340641,0.208090253,0.087210048,0.303693818,0.003750575,-0.349657082,0.440526577,-0.187578198,-0.188073086,-0.304542983,-0.01754727,0.201922113,0.104263282,-0.237266797,-0.197654189,-0.244333364,-0.285580839,0.116270952,0.156061103,0.191833858,-0.168901738,0.100527005,-0.187250705,-0.190710638,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,Checking or savings account,Checking account,Managing an account,Fee problem
23724,0.202137415,0.302602787,0.312048923,0.057598969,-0.143082229,0.04503452,0.107573948,0.216810073,0.170547043,0.262854659,0.086046909,-0.110801334,-0.251870236,-0.035579101,-0.225466526,0.325002369,0.020370677,0.202230033,-0.31049181,0.19721812,0.333384221,-0.22552739,0.117183441,-0.096457225,0.14587904,0.352382461,-0.278330255,-0.238854012,0.194590204,0.350039714,0.202682919,-0.262111003,-0.000549785,0.032145504,0.233367807,0.24669208,-0.030640126,-0.227526563,-0.049330316,0.341474673,0.195901875,0.359708351,0.236233713,0.218427888,-0.324890038,0.120581235,0.34323204,-0.022939442,0.160008089,-0.248427456,0.171381342,0.13001921,0.237239525,0.230741612,-0.142159846,-0.012842222,0.09309706,0.336863091,0.095498395,0.28345982,-0.173331308,0.31806388,0.344544486,-0.319259049,-0.104816109,-0.062634467,0.125404929,-0.025595182,-0.175047047,-0.15138244,-0.348315533,-0.222741724,-0.104551575,0.149172723,-0.001560049,0.290558633,0.331546914,0.203716944,0.189613705,0.305955923,-0.019405695,-0.314798594,0.411739318,-0.209009918,-0.068912256,-0.288530906,0.052650113,0.175196734,0.119693214,-0.193092217,-0.120905409,-0.131166971,-0.270408828,0.106290606,0.20195762,0.202170139,-0.234983983,0.158577883,-0.206010821,-0.16558159,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,Checking or savings account,Other banking product or service,Managing an account,Problem accessing account
23872,0.330012582,0.379112354,0.271880104,0.188912219,-0.199333089,-0.107967516,0.095192193,0.121650718,-0.075065541,0.212192888,0.192525515,-0.198558063,-0.180037456,0.036850517,-0.216810283,0.299091044,0.201351584,0.143293921,-0.298691941,0.205839486,0.286886663,-0.254787253,0.156968656,-0.203922572,0.107915264,0.362100794,-0.281252128,-0.260464305,0.126013132,0.377915282,0.163874121,-0.316898479,0.069822419,0.049169199,0.234139989,0.283827055,-0.035308277,-0.201014617,-0.214144249,0.369376208,0.338191681,0.365686038,0.279196063,0.166522403,-0.354500272,0.087597738,0.370611502,-0.136348038,0.073911963,-0.318116334,0.252871061,0.246914446,0.23045203,0.251121169,-0.11838339,-0.118606405,0.05043801,0.315175281,-0.242033729,0.290171491,-0.233483994,0.32589116,0.413883631,-0.405574509,0.02016169,0.02386063,0.089997585,-0.142821676,-0.262419918,-0.048321796,-0.399705315,-0.286220273,-0.233921999,0.211257351,-0.082250402,0.343783064,0.355967922,0.223728713,0.053782151,0.328973562,0.218085088,-0.347499439,0.426217012,-0.216620624,-0.287040507,-0.32679259,-0.046307943,0.127740576,-0.157142168,-0.266145938,-0.257866195,-0.298350997,-0.259494,0.249722056,0.165424068,0.171705398,-0.156285942,0.124703297,-0.293404417,-0.148179832,"CITIBANK, N.A.",FL,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize
24143,0.186502329,0.317537693,0.299640297,0.162713098,-0.261980743,0.176931395,0.099510791,-0.028392389,-0.229434962,0.347060949,-0.03384536,-0.113597165,-0.079958035,-0.246315898,-0.290169219,0.346833745,0.009990944,0.100869978,-0.315071733,0.146152656,0.308214412,-0.320422841,0.068730336,-0.169354313,0.19465372,0.318394839,-0.319944242,-0.127365778,0.009693607,0.387595201,0.218259785,-0.143035819,-0.040395868,0.223943456,0.223610224,0.163312359,-0.010374459,-0.082900965,-0.145352155,0.311234042,0.095026055,0.365598639,0.230481895,0.293481594,-0.297662128,0.19464384,0.308131169,-0.123354419,0.046752379,-0.22827605,0.172112494,0.048188268,0.112202191,0.238984521,0.160560195,0.260715564,0.105633172,0.373156464,-0.077492809,0.363810298,-0.202512634,0.314376587,0.335609212,-0.309838166,-0.052756447,-0.081978663,0.108892178,-0.074473519,-0.09444496,-0.315058019,-0.350429598,-0.199145377,-0.274169932,0.171749104,0.049818713,0.316619956,0.354029934,0.204953668,-0.096423304,0.268864165,0.147923986,-0.350517954,0.382841357,-0.243347711,-0.144902275,-0.324587809,0.054944234,0.221871974,-0.137228527,-0.123788444,-0.141118687,-0.044392906,-0.271654287,-0.238551919,0.094670984,0.171692811,-0.267190527,0.129683317,0.036053341,-0.092581264,"BANK OF AMERICA, NATIONAL ASSOCIATION",WI,Credit card or prepaid card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem
24688,0.214848319,0.320341729,0.290585419,0.172270594,-0.164435692,3.25E-05,0.071253678,0.141891523,-0.136007795,0.248094926,0.081873554,-0.188432708,-0.185200047,-0.014689132,-0.199061666,0.265539289,0.091422367,-0.176030015,-0.217104394,0.190232541,0.274555236,-0.205290414,0.187901983,0.121491509,0.199758728,0.284330314,-0.280345625,-0.203826282,0.08290264,0.314021585,0.119668646,-0.215060002,-0.143634709,0.05289258,0.204144461,0.252052718,0.044923863,-0.167779145,-0.134578085,0.2809865,0.22162901,0.306918408,0.195035932,0.257051905,-0.300720011,0.080247824,0.325184537,-0.083861868,0.164816552,-0.215846298,0.096428198,0.188025497,0.230596451,0.174668948,0.037092123,0.052430834,-0.141688265,0.28073801,-0.175159363,0.260581056,-0.259739487,0.276304784,0.314698948,-0.329906425,0.229566245,0.080395953,0.038416362,-0.129565117,-0.255932404,-0.089252416,-0.323439676,-0.186604194,-0.126694274,0.219464632,0.064873303,0.29883466,0.287048749,0.219766158,0.155682434,0.296522049,0.105578042,-0.284324369,0.378318155,-0.102239114,-0.173778586,-0.274706659,-0.015937073,0.239548114,-0.132864422,-0.206525889,-0.218005695,-0.139222775,-0.24711143,0.109723832,0.171627426,0.166808174,-0.18479492,0.143668826,-0.153245747,-0.207483339,WELLS FARGO & COMPANY,DE,Mortgage,Home equity loan or line of credit (HELOC),Incorrect information on your report,Null
24911,0.22888046,0.306212982,0.277333784,0.072290073,-0.0954303,0.024532068,0.005793764,0.198704257,-0.063333954,0.265222448,-0.01035509,-0.226948344,-0.090628683,-0.072546115,-0.193271121,0.318049665,0.190391635,0.138422465,-0.252717988,0.207840752,0.261209756,-0.159977276,0.155104368,-0.318755356,0.097879091,0.269566885,-0.218960555,-0.242337222,0.069427697,0.336329604,0.175926587,-0.218199958,0.029694993,0.180223144,0.151308702,0.139469366,0.091493744,-0.104951722,-0.124608019,0.276518968,0.122559175,0.322971955,0.160638857,0.185376332,-0.295386345,0.128494781,0.291145851,0.05148935,0.179090176,-0.166702806,0.100517287,0.08935025,0.194979253,0.260147963,-0.059033753,0.128895959,-0.08954952,0.284101661,0.036594412,0.261805498,-0.1966781,0.283459074,0.28617618,-0.282468794,-0.062888746,-0.105601881,0.17667989,-0.01388783,-0.233539555,-0.18149768,-0.330332063,-0.143567012,-0.048980944,0.153704928,-0.007487535,0.245801867,0.319516445,0.155874395,-0.021170478,0.261421051,0.120320562,-0.273037006,0.375179257,-0.178829583,-0.11542923,-0.235438395,-0.125255354,0.227982899,0.052499126,-0.163248856,-0.143272888,-0.132056011,-0.26919811,0.138921569,0.044283737,0.279602002,-0.178905725,0.106134668,-0.097325114,-0.186118809,"CITIBANK, N.A.",WA,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card
25794,0.238779677,0.341711221,0.343715066,0.223214137,-0.200766723,0.029230463,0.153860833,0.162852968,0.02238399,0.295110491,-0.047276786,-0.136761729,-0.189040272,-0.095395083,-0.265639799,0.354891988,-0.04831158,0.134137405,-0.308376792,0.151993297,0.324172092,-0.186925817,0.050167278,-0.190196636,0.252786889,0.330293279,-0.322290297,-0.241500414,0.101540648,0.385856114,0.186461726,-0.249766568,0.072201731,0.102558079,0.295346467,0.24401219,0.003855375,-0.242482147,-0.188770322,0.346305904,0.215456486,0.362293255,0.211736456,0.284562036,-0.344130855,0.127905849,0.341122906,-0.10811418,0.248640263,-0.297139574,0.185260726,0.175613895,0.2090774,0.341789184,-0.074798775,0.087745143,0.057937757,0.342329236,0.032042626,0.340813349,-0.236525161,0.331488967,0.344941757,-0.374555405,-0.104487693,-0.119590368,0.136354219,-0.080018154,-0.183956752,-0.105166739,-0.372932829,-0.20755282,-0.138123492,0.216648105,-0.041989969,0.300441149,0.371925239,0.209753516,0.130257311,0.321186042,0.082737121,-0.344713045,0.445153706,-0.177677527,-0.156307858,-0.309861058,-0.000269036,0.162688342,0.09790536,-0.246638784,-0.169308219,-0.113756197,-0.29756805,0.044850391,0.256222929,0.244626213,-0.235855183,0.074591556,-0.171857025,-0.188258873,WELLS FARGO & COMPANY,PA,Checking or savings account,Checking account,Closing an account,Company closed your account
26524,0.233232055,0.327695299,0.271372344,0.146599982,-0.263541593,0.001258248,0.07531864,0.202671399,0.149227505,0.242677918,0.015701137,-0.167690481,-0.189063179,-0.063875827,-0.206779141,0.330283881,0.114843881,0.045424685,-0.305088659,0.239088839,0.345311086,-0.246104643,0.184940745,-0.141595425,0.181091157,0.348105957,-0.287076482,-0.250374449,0.183007894,0.376292613,0.096467258,-0.310964072,0.000929706,0.20814571,0.192326175,0.206207305,0.014313639,-0.196269697,-0.16740879,0.313268203,0.290444937,0.339960435,0.25226152,0.208762173,-0.332495393,0.07717679,0.349621539,-0.151211592,0.140704663,-0.3004106,0.234663938,0.100001005,0.212402497,0.249765516,-0.163983094,0.019389791,-0.071204174,0.360101385,-0.039617347,0.271800244,-0.197055295,0.321225269,0.334072969,-0.326155892,0.001115821,0.032742699,0.054607236,-0.041125475,-0.198254023,-0.129522471,-0.369489998,-0.29369682,-0.159101262,0.201000207,-0.119812249,0.309124009,0.334277107,0.222000108,0.084170284,0.315701946,0.139585328,-0.316708936,0.415616796,-0.199740737,-0.23772133,-0.291709059,0.150891862,0.167179878,-0.019043303,-0.288479948,-0.190533944,-0.196983666,-0.303488715,0.106303846,0.174137248,0.156801258,-0.217567086,0.144621036,-0.188048873,-0.216274254,WELLS FARGO & COMPANY,CA,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft
